activation_rate,activation_runs,active_steps,episode_any_activation_rate,episodes_with_any_activation,group,isolated_one_step_runs,mean_episode_isolated_run_flicker_rate,mean_episode_run_length_steps,mean_lam_hard_when_active,mean_lam_hard_when_inactive,mean_lam_soft_when_active,mean_lam_soft_when_inactive,mean_transitions_per_100_steps,mean_transitions_per_episode,n_episodes,n_steps,pooled_isolated_run_flicker_rate,pooled_mean_run_length_steps,pooled_median_run_length_steps,total_transitions
0.07767603410167351,145,492,0.76,76,overall,49,0.2633333333333333,2.5766666666666667,0.047451428090396326,0.035276036343841126,0.07444812268079297,0.060289987085851975,4.777044367380714,2.83,100,6334,0.33793103448275863,3.393103448275862,2.0,283
0.08855228662976988,88,304,0.7636363636363637,42,regime=R1,30,0.2636363636363636,2.7393939393939393,0.04875097824199321,0.037191113727045214,0.07611584490606267,0.06219699993353372,5.335552896639834,3.109090909090909,55,3433,0.3409090909090909,3.4545454545454546,3.0,171
0.06425153793574846,28,94,0.75,18,regime=R2,9,0.2638888888888889,2.2847222222222223,0.04961048673957269,0.03283466251364278,0.07557911897434834,0.056673037572617595,3.7326129918714472,2.25,24,1463,0.32142857142857145,3.357142857142857,2.5,54
0.06536856745479833,29,94,0.7619047619047619,16,regime=R3,10,0.2619047619047619,2.484126984126984,0.041089568950949194,0.03330428310090654,0.06792364174381216,0.05953445187991574,4.507919791331709,2.761904761904762,21,1438,0.3448275862068966,3.2413793103448274,2.0,58
0.03608969866853539,31,103,0.23,23,phase=pre_event,14,0.10166666666666666,0.795,0.06427105086701877,0.03441753820863172,0.09203081368242652,0.05841682436468059,1.859560347782829,0.5,100,2854,0.45161290322580644,3.3225806451612905,2.0,50
0.057,18,57,0.17,17,phase=blocked_pre_opening,4,0.04,0.53,0.061706154133405605,0.032893287515206496,0.08945036313512869,0.05775448640814389,2.666666666666666,0.24,100,1000,0.2222222222222222,3.1666666666666665,3.0,24
0.1338709677419355,99,332,0.73,73,phase=post_opening,34,0.23666666666666664,2.561666666666667,0.03978594456496368,0.03742159524298615,0.06641756581613817,0.06380211361519146,9.089958073658318,1.97,100,2480,0.3434343434343434,3.3535353535353534,2.0,197
0.051232166018158234,22,79,0.2727272727272727,15,"regime=R1,phase=pre_event",9,0.11212121212121211,1.0272727272727273,0.0664076448854389,0.03670814333538323,0.09471779594881626,0.06039504347571509,2.3752816001129893,0.6363636363636364,55,1542,0.4090909090909091,3.590909090909091,2.5,35
0.06545454545454546,12,36,0.2,11,"regime=R1,phase=blocked_pre_opening",4,0.07272727272727272,0.5818181818181818,0.06286889687180519,0.0365338560052448,0.08993142212016715,0.061681526531882094,3.4343434343434343,0.3090909090909091,55,550,0.3333333333333333,3.0,2.5,17
0.14093959731543623,57,189,0.7454545454545455,41,"regime=R1,phase=post_opening",20,0.23939393939393938,2.6393939393939396,0.03868155107000675,0.03809772497010676,0.06570888769926217,0.06471541627575385,9.972352565969874,2.0727272727272728,55,1341,0.3508771929824561,3.3157894736842106,3.0,114
0.013657056145675266,3,9,0.125,3,"regime=R2,phase=pre_event",2,0.08333333333333333,0.375,0.06093828669852681,0.0280492765076745,0.08979316676656406,0.05041719013681779,0.4712301587301588,0.125,24,659,0.6666666666666666,3.0,1.0,3
0.03333333333333333,3,8,0.125,3,"regime=R2,phase=blocked_pre_opening",0,0.0,0.3333333333333333,0.05973994405940175,0.03175423683694981,0.08940185699611902,0.0555634668883707,1.8518518518518519,0.16666666666666666,24,240,0.0,2.6666666666666665,3.0,4
0.13652482269503546,22,77,0.6666666666666666,16,"regime=R2,phase=post_opening",7,0.20833333333333334,2.2291666666666665,0.04723404702282958,0.03973642773103941,0.07248160813923006,0.06555131525642696,7.881179006179006,1.7916666666666667,24,564,0.3181818181818182,3.5,2.5,43
0.022970903522205207,6,15,0.23809523809523808,5,"regime=R3,phase=pre_event",3,0.09523809523809523,0.6666666666666666,0.05501798087110122,0.03565298461174259,0.07922196189562479,0.06203066086729399,2.0955249029783194,0.5714285714285714,21,653,0.5,2.5,1.5,12
0.06190476190476191,3,13,0.14285714285714285,3,"regime=R3,phase=blocked_pre_opening",0,0.0,0.6190476190476191,0.05969622659568603,0.024735965451632206,0.08814804972364353,0.05008858744868167,1.587301587301587,0.14285714285714285,21,210,0.0,4.333333333333333,5.0,3
0.11478260869565217,20,66,0.7619047619047619,16,"regime=R3,phase=post_opening",7,0.2619047619047619,2.738095238095238,0.034259073069375576,0.033676556210913686,0.06137224619813038,0.06006147341037897,8.160386670913931,1.9047619047619047,21,575,0.35,3.3,2.0,40
