activation_rate,active_steps,agreement_clearance_rate,agreement_decisions,agreement_directional_cosine,agreement_hard_disagreement_rate,blocked_pre_opening_activation_rate,blocked_pre_opening_active_steps,blocked_pre_opening_any_activation,blocked_pre_opening_steps,compute_ms_per_step,cvar20_violation,episode_id,false_preactivation_episode,hard_contacts,k,post_opening_activation_rate,post_opening_active_steps,post_opening_any_activation,post_opening_no_activation_episode,post_opening_steps,pre_event_activation_rate,pre_event_active_steps,pre_event_any_activation,pre_event_steps,regime,steps,success
0.21428571428571427,12,1.0,7,0.5774383136932805,0.0,0.0,0,0,10,8.03128907136852,2.362980258937169,0,0,10.0,4,0.5714285714285714,12,1,0,21,0.0,0,0,25,R1,56,1.0
0.0,0,nan,0,nan,nan,0.0,0,0,10,11.308583474354977,1.9600181268606136,1,0,7.0,4,0.0,0,0,1,22,0.0,0,0,27,R1,59,1.0
0.05454545454545454,3,0.3333333333333333,3,0.9969352840293362,0.6666666666666666,0.2,2,1,10,11.668960145801645,2.2891397638925843,2,1,9.0,4,0.05,1,1,0,20,0.0,0,0,25,R3,55,1.0
0.0625,4,1.0,4,0.5664498480685543,0.0,0.0,0,0,10,10.897170218868268,1.3941213816136981,3,0,3.0,4,0.16,4,1,0,25,0.0,0,0,29,R3,64,1.0
0.0,0,nan,0,nan,nan,0.0,0,0,10,9.457433363951912,1.597566672104449,4,0,3.0,4,0.0,0,0,1,19,0.0,0,0,26,R3,55,1.0
0.07692307692307693,5,0.4,5,0.6375240304331303,0.6,0.0,0,0,10,7.505898553734789,1.702204422305705,5,0,6.0,4,0.08333333333333333,2,1,0,24,0.0967741935483871,3,1,31,R1,65,1.0
0.140625,9,0.0,9,0.9741766479927537,0.0,0.0,0,0,10,7.7334779844022705,2.1134453923295142,6,0,8.0,4,0.0,0,0,1,24,0.3,9,1,30,R1,64,1.0
0.019230769230769232,1,0.0,1,0.9963091090988382,0.0,0.1,1,1,10,7.211776519118128,2.3778427353296747,7,1,9.0,4,0.0,0,0,1,18,0.0,0,0,24,R1,52,1.0
0.09803921568627451,5,1.0,4,0.999983260298478,0.0,0.0,0,0,10,7.159655372151082,2.628880120379997,8,0,12.0,4,0.29411764705882354,5,1,0,17,0.0,0,0,24,R2,51,1.0
0.02040816326530612,1,1.0,1,0.9913070154295042,0.0,0.0,0,0,10,9.030066285643498,2.774425280290071,9,0,13.0,4,0.058823529411764705,1,1,0,17,0.0,0,0,22,R2,49,1.0
0.0,0,nan,0,nan,nan,0.0,0,0,10,7.221719339473306,2.540613819464813,10,0,9.0,4,0.0,0,0,1,20,0.0,0,0,26,R1,56,1.0
0.15151515151515152,10,1.0,8,0.451003441292994,0.0,0.0,0,0,10,7.3619045759904,1.3684046317319656,11,0,3.0,4,0.38461538461538464,10,1,0,26,0.0,0,0,30,R1,66,1.0
0.04918032786885246,3,1.0,3,0.9833600836561232,0.0,0.0,0,0,10,7.2126943440573505,1.348203829612707,12,0,3.0,4,0.13636363636363635,3,1,0,22,0.0,0,0,29,R2,61,1.0
0.0,0,nan,0,nan,nan,0.0,0,0,10,7.223115200273848,2.716918832493124,13,0,20.0,4,0.0,0,0,1,22,0.0,0,0,28,R1,60,1.0
0.0,0,nan,0,nan,nan,0.0,0,0,10,7.19563412470355,2.5473058023440713,14,0,11.0,4,0.0,0,0,1,17,0.0,0,0,21,R1,48,1.0
0.0,0,nan,0,nan,nan,0.0,0,0,10,7.093647925541046,2.376065133927987,15,0,11.0,4,0.0,0,0,1,19,0.0,0,0,25,R2,54,1.0
0.0,0,nan,0,nan,nan,0.0,0,0,10,7.84829454259726,2.576678928773273,16,0,12.0,4,0.0,0,0,1,22,0.0,0,0,27,R1,59,1.0
0.0,0,nan,0,nan,nan,0.0,0,0,10,7.939261583184513,2.5702010751655413,17,0,13.0,4,0.0,0,0,1,16,0.0,0,0,22,R2,48,1.0
0.0,0,nan,0,nan,nan,0.0,0,0,10,7.906381901629059,2.737993605095636,18,0,14.0,4,0.0,0,0,1,33,0.0,0,0,28,R1,71,1.0
0.0,0,nan,0,nan,nan,0.0,0,0,10,7.772689027399182,2.7136702958803167,19,0,20.0,4,0.0,0,0,1,31,0.0,0,0,32,R1,73,1.0
0.0,0,nan,0,nan,nan,0.0,0,0,10,7.859541096671995,2.623574669938637,20,0,13.0,4,0.0,0,0,1,25,0.0,0,0,27,R1,62,1.0
0.0,0,nan,0,nan,nan,0.0,0,0,10,7.7178910703391725,2.4211518309931686,21,0,11.0,4,0.0,0,0,1,33,0.0,0,0,28,R1,71,1.0
0.0547945205479452,4,0.0,4,0.7899607323887995,1.0,0.0,0,0,10,7.7047253698142475,2.874771676691243,22,0,35.0,4,0.13333333333333333,4,1,0,30,0.0,0,0,33,R3,73,1.0
0.06666666666666667,4,0.0,3,0.7436793604472877,1.0,0.0,0,0,10,9.877535249688663,2.9458124249101667,23,0,23.0,4,0.16666666666666666,4,1,0,24,0.0,0,0,26,R1,60,1.0
0.24193548387096775,15,0.5333333333333333,15,0.7433744613589529,0.4666666666666667,0.8,8,1,10,9.776405290223568,2.3258657745726046,24,1,11.0,4,0.28,7,1,0,25,0.0,0,0,27,R1,62,1.0
0.0,0,nan,0,nan,nan,0.0,0,0,10,9.962010370347546,2.6196810436186126,25,0,13.0,4,0.0,0,0,1,19,0.0,0,0,25,R3,54,1.0
