activation_rate,activation_rate_ci_high,activation_rate_ci_low,agreement_clearance_rate,agreement_directional_cosine,agreement_hard_disagreement_rate,compute_ms_per_step,compute_ms_per_step_ci_high,compute_ms_per_step_ci_low,cvar20_violation,cvar20_violation_ci_high,cvar20_violation_ci_low,false_preactivation_episode,false_preactivation_episode_ci_high,false_preactivation_episode_ci_low,hard_contacts,hard_contacts_ci_high,hard_contacts_ci_low,k,n_episodes,post_opening_no_activation_episode,post_opening_no_activation_episode_ci_high,post_opening_no_activation_episode_ci_low,success,success_ci_high,success_ci_low
0.024786864540574678,0.03437208918087751,0.016466112968262645,0.5586206896551724,0.7257051649990781,0.19310344827586207,7.984750996962349,8.202488228046105,7.783731809323144,2.351966282386453,2.437374860475383,2.260969065612285,0.03,0.07,0.0,12.43,13.73,11.15,4,100,0.66,0.75,0.57,1.0,1.0,1.0
0.0629933691190401,0.0799685842845501,0.04783215679011876,0.5789473684210527,0.7117342067151498,0.23268698060941828,7.670742688595389,7.726319636071801,7.610726144721282,2.35196628870054,2.437002552054142,2.260907056075807,0.15,0.22,0.08,12.43,13.73,11.17,8,100,0.38,0.48,0.29,1.0,1.0,1.0
0.07767603410167351,0.09530709051392519,0.061593960363494425,0.5563063063063063,0.705103913839447,0.25900900900900903,8.021246249114203,8.076760361984425,7.966367248924894,2.351966278903124,2.4351756974720056,2.264621189945405,0.17,0.25,0.1,12.43,13.77,11.17,16,100,0.27,0.36,0.18,1.0,1.0,1.0
0.0903062835491001,0.11034658627414548,0.07234340683525314,0.5484496124031008,0.6886910799214434,0.2751937984496124,8.674321417120934,8.719781511446776,8.62840636847701,2.3519662711085436,2.4358682229215636,2.264869380800068,0.2,0.28,0.12,12.43,13.74,11.16975,32,100,0.25,0.34,0.17,1.0,1.0,1.0
