corruption_probability,metric,estimate,ci_low,ci_high,bootstrap_unit,bootstrap_reps
0.0,CAR,0.7333802321491383,0.7175124188755784,0.7489511896918754,episode,2000
0.0,FAR,0.21708926710663426,0.20609167533452205,0.22771620540027104,episode,2000
0.0,SR,1.8637828584539315,1.7274027462905466,2.022733153757193,episode,2000
0.0,activation_rate,0.2867998388118128,0.27641804951025023,0.29683610525768317,episode,2000
0.0,noop_rate,0.7132001611881872,0.7031638947423168,0.7235819504897497,episode,2000
0.1,CAR,0.48868566068706765,0.47148363242685415,0.5057419769977132,episode,2000
0.1,FAR,0.17051638300335764,0.16191663408044454,0.1787703627613484,episode,2000
0.1,SR,1.6734875507271803,1.5501342134105984,1.8213885684249735,episode,2000
0.1,activation_rate,0.20935275267207798,0.20147546150844284,0.2170813944382344,episode,2000
0.1,noop_rate,0.790647247327922,0.7829186055617656,0.7985245384915571,episode,2000
0.2,CAR,0.3971157228279986,0.37998161894988275,0.4146148145276238,episode,2000
0.2,FAR,0.14469723283547528,0.1367995109366104,0.15217485672096703,episode,2000
0.2,SR,1.6038561533352311,1.4740344793071551,1.7508950874059703,episode,2000
0.2,activation_rate,0.1749083721911999,0.16796395804063818,0.18169990021353813,episode,2000
0.2,noop_rate,0.8250916278088001,0.8183000997864619,0.8320360419593618,episode,2000
0.3,CAR,0.34728573103529137,0.33133287362253594,0.3638676847424232,episode,2000
0.3,FAR,0.13375593377330092,0.1261021981982994,0.14132215884602609,episode,2000
0.3,SR,1.5491518184594502,1.4126291071320962,1.6985654153298544,episode,2000
0.3,activation_rate,0.15848252835185078,0.15206690083955432,0.16506341672433378,episode,2000
0.3,noop_rate,0.8415174716481493,0.8349365832756662,0.8479330991604457,episode,2000
