mode,scope,method_a,method_b,metric,higher_is_better,n_clusters,n_paired_observations,method_a_mean,method_b_mean,difference_a_minus_b,ci95_low,ci95_high,bootstrap_probability_a_better
dynamic,event:mud_onset,route_aware_stage2,stage2_expected_cost,success,True,100,100,1.0,0.99,0.010000000000000009,0.0,0.030000000000000027,0.6316
dynamic,event:mud_onset,route_aware_stage2,stage2_expected_cost,stuck,False,100,100,0.0,0.01,-0.01,-0.03,0.0,0.6348
dynamic,event:mud_onset,route_aware_stage2,stage2_expected_cost,event_window_cvar_violation,False,100,100,0.8532287560641854,0.8695860472367795,-0.0163572911725941,-0.032743781216248255,-0.0008446309398855881,0.9808
dynamic,event:mud_onset,route_aware_stage2,stage2_expected_cost,post_event_cvar_violation,False,100,100,0.8532287560641854,0.8695860472367795,-0.0163572911725941,-0.03282789732764515,-0.0009984138378447535,0.9813
dynamic,event:mud_onset,route_aware_stage2,stage2_expected_cost,hard_contact,False,100,100,0.0,0.0,0.0,0.0,0.0,0.0
dynamic,event:mud_onset,route_aware_stage2,stage2_expected_cost,hard_hazard_length_m,False,100,100,0.0,0.0,0.0,0.0,0.0,0.0
dynamic,event:mud_onset,route_aware_stage2,stage2_expected_cost,stale_exposure,False,100,100,2.4756531677234173,2.6535320057976843,-0.17787883807426708,-0.5874325363955923,0.26859394689285554,0.8009
dynamic,event:mud_onset,route_aware_stage2,stage2_expected_cost,reaction_delay,False,100,100,8.23,8.11,0.120000000000001,-1.4700000000000006,2.2800000000000002,0.4832
dynamic,event:mud_onset,route_aware_stage2,stage2_expected_cost,path_length_ratio,False,100,100,0.9743040451595694,0.9853165692898921,-0.01101252413032272,-0.032370804261752595,0.001204853290964241,0.926
dynamic,event:mud_onset,route_aware_stage2,stage2_expected_cost,compute_ms,False,100,100,0.2357072975078608,0.28381351115564507,-0.04810621364778428,-0.16087371949053217,0.008602867735108306,0.6367
dynamic,aggregate,route_aware_stage2,dwa_semantic,success,True,100,300,0.9166666666666666,0.5666666666666667,0.35,0.26,0.44,1.0
dynamic,aggregate,route_aware_stage2,dwa_semantic,stuck,False,100,300,0.13333333333333333,0.5066666666666667,-0.3733333333333334,-0.4666666666666667,-0.28,1.0
dynamic,aggregate,route_aware_stage2,dwa_semantic,event_window_cvar_violation,False,100,300,0.6674586248210133,0.5949210246508091,0.07253760017020416,0.051321470331337674,0.09551327819661329,0.0
dynamic,aggregate,route_aware_stage2,dwa_semantic,post_event_cvar_violation,False,100,300,0.6674033245508205,0.5928271937806613,0.07457613077015923,0.053648910487165885,0.09674559316342908,0.0
dynamic,aggregate,route_aware_stage2,dwa_semantic,hard_contact,False,100,300,0.02666666666666667,0.023333333333333334,0.003333333333333334,-0.016666666666666666,0.023333333333333334,0.3072
dynamic,aggregate,route_aware_stage2,dwa_semantic,hard_hazard_length_m,False,100,300,0.02747533333333333,0.030236666666666665,-0.0027613333333333344,-0.024832333333333324,0.018333333333333337,0.5827
dynamic,aggregate,route_aware_stage2,dwa_semantic,stale_exposure,False,100,300,1.6373716271400751,1.0016794320013473,0.6356921951387278,0.1130543089252707,1.1637419218549279,0.0069
dynamic,aggregate,route_aware_stage2,dwa_semantic,reaction_delay,False,100,300,6.843333333333334,2.8033333333333332,4.040000000000001,1.5,7.026916666666664,0.0004
dynamic,aggregate,route_aware_stage2,dwa_semantic,path_length_ratio,False,100,300,1.0547667778551135,1.4078809494469056,-0.35311417159179204,-0.4266483086735958,-0.2818632373241515,1.0
dynamic,aggregate,route_aware_stage2,dwa_semantic,compute_ms,False,100,300,1.9882186486281868,0.18386703599053913,1.8043516126376475,1.3309454338485243,2.3310366860778395,0.0
dynamic,event:corridor_closes,route_aware_stage2,dwa_semantic,success,True,100,100,0.78,0.54,0.24,0.13,0.35,1.0
dynamic,event:corridor_closes,route_aware_stage2,dwa_semantic,stuck,False,100,100,0.22,0.54,-0.32000000000000006,-0.43999999999999995,-0.2,1.0
dynamic,event:corridor_closes,route_aware_stage2,dwa_semantic,event_window_cvar_violation,False,100,100,0.5879878467695024,0.5506700597629162,0.03731778700658628,0.003631779188010912,0.08420888674494499,0.0107
dynamic,event:corridor_closes,route_aware_stage2,dwa_semantic,post_event_cvar_violation,False,100,100,0.587781207338383,0.551367274246923,0.036413933091460016,0.002648646921065701,0.08259588832122777,0.0149
dynamic,event:corridor_closes,route_aware_stage2,dwa_semantic,hard_contact,False,100,100,0.08,0.07,0.009999999999999995,-0.05,0.07,0.3052
dynamic,event:corridor_closes,route_aware_stage2,dwa_semantic,hard_hazard_length_m,False,100,100,0.082426,0.09071,-0.008284,-0.07535499999999998,0.05414200000000001,0.6014
dynamic,event:corridor_closes,route_aware_stage2,dwa_semantic,stale_exposure,False,100,100,1.3516783361087439,1.0484346118511407,0.30324372425760315,-0.21005073280462125,0.8435540460995896,0.1245
dynamic,event:corridor_closes,route_aware_stage2,dwa_semantic,reaction_delay,False,100,100,7.18,3.36,3.82,0.9600000000000004,7.159999999999999,0.0026
dynamic,event:corridor_closes,route_aware_stage2,dwa_semantic,path_length_ratio,False,100,100,1.154519503705315,1.4312196526687522,-0.2767001489634371,-0.3786628211154403,-0.17312520993044014,1.0
dynamic,event:corridor_closes,route_aware_stage2,dwa_semantic,compute_ms,False,100,100,3.713489414188987,0.18448709528927862,3.5290023188997086,2.307314316208461,4.841883652731981,0.0
dynamic,event:corridor_opens,route_aware_stage2,dwa_semantic,success,True,100,100,0.97,0.59,0.38,0.28,0.48,1.0
dynamic,event:corridor_opens,route_aware_stage2,dwa_semantic,stuck,False,100,100,0.18,0.49,-0.31,-0.42000000000000004,-0.19999999999999998,1.0
dynamic,event:corridor_opens,route_aware_stage2,dwa_semantic,event_window_cvar_violation,False,100,100,0.5611592716293515,0.5386085349491652,0.022550736680186367,0.00785988533925785,0.0385133495158629,0.0009
dynamic,event:corridor_opens,route_aware_stage2,dwa_semantic,post_event_cvar_violation,False,100,100,0.5612000102498927,0.5392224307978082,0.02197757945208456,0.006758548208014934,0.038639758691932785,0.0017
dynamic,event:corridor_opens,route_aware_stage2,dwa_semantic,hard_contact,False,100,100,0.0,0.0,0.0,0.0,0.0,0.0
dynamic,event:corridor_opens,route_aware_stage2,dwa_semantic,hard_hazard_length_m,False,100,100,0.0,0.0,0.0,0.0,0.0,0.0
dynamic,event:corridor_opens,route_aware_stage2,dwa_semantic,stale_exposure,False,100,100,1.0847833775880635,0.7141989070705472,0.3705844705175163,-0.10575207387461716,0.8701006431454203,0.0672
dynamic,event:corridor_opens,route_aware_stage2,dwa_semantic,reaction_delay,False,100,100,5.12,2.29,2.83,0.5100000000000002,5.710000000000001,0.007
dynamic,event:corridor_opens,route_aware_stage2,dwa_semantic,path_length_ratio,False,100,100,1.0354767847004562,1.3829336344049188,-0.34745684970446256,-0.4218250917653633,-0.2763973473841306,1.0
dynamic,event:corridor_opens,route_aware_stage2,dwa_semantic,compute_ms,False,100,100,2.0154592341877122,0.18357312216063001,1.8318861120270822,1.278023932936641,2.43102260354067,0.0
dynamic,event:mud_onset,route_aware_stage2,dwa_semantic,success,True,100,100,1.0,0.57,0.43000000000000005,0.32999999999999996,0.53,1.0
dynamic,event:mud_onset,route_aware_stage2,dwa_semantic,stuck,False,100,100,0.0,0.49,-0.49,-0.59,-0.39,1.0
dynamic,event:mud_onset,route_aware_stage2,dwa_semantic,event_window_cvar_violation,False,100,100,0.8532287560641854,0.6954844792403463,0.15774427682383907,0.12034932491390718,0.19603414797895113,0.0
