directional_class,directional_p_noop,directional_p_pred,dot_safe,episode_id,feasible_direction_count,force_norm,force_perp_norm,force_risk_alignment,force_source,has_safe_alt,lam_hard,lam_soft,path_index,regime,safe_risk,scaffold_risk
0.0,nan,nan,4.959205150604248,00000_001822_04,4.0,6.403810501098633,6.371567726135254,-0.07117105275392532,coef_energy_material_checkpoint_lambdas,0.0,4.206073760986328,2.2408547401428223,3,R2,2.451377034187317,0.3381277024745941
0.0,nan,nan,0.8089277148246765,00000_001822_04,5.0,4.141533851623535,4.061765670776367,0.6201574802398682,coef_energy_material_checkpoint_lambdas,0.0,4.19782018661499,2.2371602058410645,6,R2,2.029312700033188,2.029312700033188
0.0,nan,nan,3.881235361099243,00000_001822_04,3.0,4.290835380554199,4.289685249328613,0.9996175169944763,coef_energy_material_checkpoint_lambdas,0.0,4.19581937789917,2.2349090576171875,9,R2,2.1005732715129852,2.0570045709609985
0.0,nan,nan,1.3184688091278076,00000_001822_04,2.0,1.3714063167572021,1.1991268396377563,0.9378402233123779,coef_energy_material_checkpoint_lambdas,0.0,4.1900224685668945,2.241010904312134,12,R2,2.0247632265090942,1.2957609593868256
0.0,nan,nan,-0.4043852388858795,00000_001822_04,1.0,1.0035289525985718,0.3634958565235138,0.665804922580719,coef_energy_material_checkpoint_lambdas,0.0,4.18283224105835,2.2453572750091553,15,R2,2.029312700033188,0.8878019452095032
0.0,nan,nan,3.949307680130005,00000_001822_04,1.0,6.686023235321045,5.394986152648926,-0.15455791354179382,coef_energy_material_checkpoint_lambdas,0.0,4.190248012542725,2.2244346141815186,30,R2,3.1665260195732117,3.1665260195732117
0.0,nan,nan,0.187064528465271,00000_001822_04,2.0,4.321554660797119,4.317503929138184,0.9168914556503296,coef_energy_material_checkpoint_lambdas,0.0,4.198489189147949,2.2212069034576416,33,R2,3.1889272034168243,3.1889272034168243
0.0,nan,nan,-0.11346860975027084,00000_001822_04,2.0,0.11652813106775284,0.026526976376771927,0.9998168349266052,coef_energy_material_checkpoint_lambdas,0.0,4.191469192504883,2.233914375305176,36,R2,3.348447561264038,3.348447561264038
0.0,nan,nan,1.047393560409546,00000_001822_04,1.0,2.436190366744995,2.1995432376861572,-0.9507889747619629,coef_energy_material_checkpoint_lambdas,0.0,4.17803955078125,2.2684004306793213,39,R2,3.1665260195732117,3.161460041999817
0.0,nan,nan,0.0007884204387664795,00000_001822_04,2.0,0.48014310002326965,0.33895447850227356,-0.29454079270362854,coef_energy_material_checkpoint_lambdas,0.0,4.134333610534668,2.3160452842712402,42,R2,3.1889272034168243,1.2306994795799255
0.0,nan,nan,6.92510986328125,00000_001822_04,2.0,7.345931529998779,6.629644393920898,0.9785005450248718,coef_energy_material_checkpoint_lambdas,0.0,4.210373878479004,2.276925802230835,54,R2,4.401374340057373,0.5592601299285889
0.0,nan,nan,0.3043312728404999,00000_001822_04,5.0,0.39338481426239014,0.249267116189003,0.9964563250541687,coef_energy_material_checkpoint_lambdas,0.0,4.219093322753906,2.268627166748047,57,R2,4.400000095367432,4.400000095367432
0.0,nan,nan,0.013908197171986103,00000_001822_04,8.0,0.01435083243995905,0.013908197171986103,0.9817472696304321,coef_energy_material_checkpoint_lambdas,0.0,4.22178316116333,2.262253522872925,60,R2,4.400000095367432,2.758541524410248
0.0,nan,nan,0.22266662120819092,00000_001822_04,7.0,0.2481294870376587,0.08002873510122299,0.9911757111549377,coef_energy_material_checkpoint_lambdas,0.0,4.208435535430908,2.278759002685547,63,R2,4.400000095367432,1.1085233688354492
