arm,correct_activation,dataset,dot_safe,episode_id,false_activation,gate_active,lambda_hard_learned,lambda_soft_learned,lambda_soft_used,path_index,regime,soft_force_norm,soft_force_perp_norm
fixed,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.0736079290509224,0.10544490069150925,0.0,36,R2,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.05792321637272835,0.08839361369609833,0.0,48,R2,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.05792321637272835,0.08839361369609833,0.0,48,R2,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.05792321637272835,0.08839361369609833,0.0,48,R2,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.04491841793060303,0.07631441950798035,0.0,60,R2,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.04491841793060303,0.07631441950798035,0.0,60,R2,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.04491841793060303,0.07631441950798035,0.0,60,R2,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.045725662261247635,0.08121892064809799,0.0,72,R2,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.045725662261247635,0.08121892064809799,0.0,72,R2,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.045725662261247635,0.08121892064809799,0.0,72,R2,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_000958_00,0,0,0.12131764739751816,0.14129824936389923,0.0,0,R2,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_000958_00,0,0,0.12131764739751816,0.14129824936389923,0.0,0,R2,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_000958_00,0,0,0.12131764739751816,0.14129824936389923,0.0,0,R2,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_000958_00,0,0,0.08791927248239517,0.11098717153072357,0.0,12,R2,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_000958_00,0,0,0.08791927248239517,0.11098717153072357,0.0,12,R2,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_000958_00,0,0,0.08791927248239517,0.11098717153072357,0.0,12,R2,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_000958_00,0,0,0.06832113116979599,0.09783516824245453,0.0,24,R2,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_000958_00,0,0,0.06832113116979599,0.09783516824245453,0.0,24,R2,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_000958_00,0,0,0.06832113116979599,0.09783516824245453,0.0,24,R2,0.0,0.0
