axis_rc,barrier_half_len_cells,barrier_half_width_cells,center_rc,detour_rc,duration,episode_id,event_step,event_type,goal_rc,hard_radius_cells,low_risk_value,open_delay,radius_cells,regime,risk_value,scene_id
"[0.0, 1.0]",9.0,2.0,"[48.0, 41.0]","[33.0, 51.0]",80,0,25,delayed_required_escape,"[26.0, 82.0]",4.0,0.18,10,8.0,R1,0.95,00000_000531
"[-0.7071067690849304, 0.7071067690849304]",9.0,2.0,"[41.0, 37.0]","[29.0, 64.0]",80,1,27,delayed_required_escape,"[26.0, 82.0]",4.0,0.18,10,8.0,R1,0.95,00000_000531
