delta_on_minus_off_cvar20_risk,delta_on_minus_off_cvar20_violation,delta_on_minus_off_false_pre_activation_rate,delta_on_minus_off_final_distance_m,delta_on_minus_off_hard_contacts,delta_on_minus_off_hard_hazard_length_m,delta_on_minus_off_mean_risk,delta_on_minus_off_path_length_m,delta_on_minus_off_post_open_activation_delay,delta_on_minus_off_post_open_activation_rate,delta_on_minus_off_risk_exposure,delta_on_minus_off_success,episode_id,gate_off_cvar20_risk,gate_off_cvar20_violation,gate_off_false_pre_activation_rate,gate_off_final_distance_m,gate_off_hard_contacts,gate_off_hard_hazard_length_m,gate_off_mean_risk,gate_off_path_length_m,gate_off_post_open_activation_delay,gate_off_post_open_activation_rate,gate_off_risk_exposure,gate_off_success,gate_on_cvar20_risk,gate_on_cvar20_violation,gate_on_false_pre_activation_rate,gate_on_final_distance_m,gate_on_hard_contacts,gate_on_hard_hazard_length_m,gate_on_mean_risk,gate_on_path_length_m,gate_on_post_open_activation_delay,gate_on_post_open_activation_rate,gate_on_risk_exposure,gate_on_success,regime,scene_id
-5.539001952659106e-07,2.8909085987294247e-06,-1.0,-1.7881393432617188e-05,0.0,8.463859558105469e-06,-4.053118929370214e-08,-4.1134655475616455e-05,6.0,-0.38095238095238093,-2.488186191129671e-05,0.0,0,0.8909005344927581,2.362977274551556,1.0,2.5142860412597656,10,5.358636409044266,0.5710401710049144,34.35188810527325,0.0,1.0,19.61630805797692,1.0,0.8908999805925628,2.3629801654601548,0.0,2.514268159866333,10,5.358644872903824,0.5710401304737251,34.35184697061777,6.0,0.6190476190476191,19.616283176115008,1.0,R1,00000_000531
3.266033377080646e-07,3.0290474730687578e-06,-1.0,8.296966552734375e-05,0.0,-4.76837158203125e-07,2.2422255890885978e-07,-7.766485214233398e-05,103.0,-1.0,-2.8677281079581007e-05,0.0,1,0.6459533071630268,1.9600150978131405,1.0,2.5945723056793213,7,4.7562819719314575,0.4730051052908494,35.94021910429001,0.0,1.0,16.999907121600888,1.0,0.6459536337663645,1.9600181268606136,0.0,2.5946552753448486,7,4.756281495094299,0.4730053295134083,35.940141439437866,103.0,0.0,16.99987844431981,1.0,R1,00000_000531
-8.649747584854595e-12,7.038095511724407e-06,-0.8,6.0558319091796875e-05,0.0,8.07642936706543e-06,1.1148819611950245e-07,-0.0001415833830833435,5.0,-0.8,-7.941635960762028e-05,0.0,2,0.9499998868634661,2.2891327257970726,1.0,2.5010650157928467,9,4.490958958864212,0.5855310629741036,31.2600354924798,0.0,1.0,18.303721810519903,1.0,0.9499998868548164,2.2891397638925843,0.2,2.5011255741119385,9,4.490967035293579,0.5855311744622997,31.259893909096718,5.0,0.2,18.303642394160295,1.0,R3,00000_000531
5.144997198280876e-07,8.456948714652412e-07,-1.0,-1.0013580322265625e-05,0.0,2.1457672119140625e-06,2.6549821985355493e-07,-1.6689300537109375e-06,3.0,-0.72,9.537873534526398e-06,0.0,3,0.9264617914021163,1.3941205359188267,1.0,2.7984161376953125,3,1.9541540741920471,0.5660039192753447,39.48235484212637,0.0,1.0,22.347167582863406,1.0,0.9264623059018361,1.3941213816136981,0.0,2.7984061241149902,3,1.954156219959259,0.5660041847735645,39.482353173196316,3.0,0.28,22.34717712073694,1.0,R3,00000_000531
-2.7006430425302597e-10,-8.944119216369728e-07,-1.0,-1.5020370483398438e-05,0.0,-1.9073486328125e-06,-5.7367631978166855e-08,1.4066696166992188e-05,4.0,-0.4736842105263158,6.702813582393219e-06,0.0,4,0.9499932042373007,1.5975672177209201,1.0,2.4824812412261963,3,2.041106164455414,0.6050461530353604,31.51927226781845,0.0,1.0,19.070614432117672,1.0,0.9499932039672364,1.5975663233089985,0.0,2.482466220855713,3,2.041104257106781,0.6050460956677284,31.519286334514618,4.0,0.5263157894736842,19.070621134931255,1.0,R3,00000_000531
-2.4195440084806563e-07,1.665401980099901e-06,-0.9,8.58306884765625e-06,0.0,5.781650543212891e-06,4.128895247923481e-08,-2.5570392608642578e-05,4.0,-0.875,-1.1655185929271283e-05,0.0,5,0.7578577081073719,1.7022042417696808,1.0,2.5367984771728516,6,4.058092832565308,0.5251962476877631,42.97249672561884,0.0,1.0,22.5689940340697,1.0,0.757857466152971,1.7022059071716609,0.1,2.536807060241699,6,4.058098614215851,0.5251962889767156,42.97247115522623,4.0,0.125,22.56898237888377,1.0,R1,00000_000531
1.1864260474059307e-07,2.3295684221658064e-06,-1.0,-8.106231689453125e-06,0.0,4.351139068603516e-06,2.127139030472236e-07,-2.5838613510131836e-05,3.0,-0.8333333333333334,-4.422187057429028e-06,0.0,6,0.7089630309886656,2.1134428870450717,1.0,2.798875093460083,8,6.140965759754181,0.5054791217952959,40.611816972494125,0.0,1.0,20.52842557776762,1.0,0.7089631496312704,2.113445216613494,0.0,2.7988669872283936,8,6.1409701108932495,0.5054793345091989,40.611791133880615,3.0,0.16666666666666666,20.528421155580563,1.0,R1,00000_000531
0.0,4.862881013423248e-07,-0.9,5.125999450683594e-05,0.0,-1.0639429092407227e-05,6.89275875487283e-07,-8.386373519897461e-05,4.0,-0.7777777777777778,-2.8261585185873628e-05,0.0,7,0.949999988079071,2.3778431813792995,1.0,2.588130474090576,9,4.946579188108444,0.5848473674907618,30.15622353553772,0.0,1.0,17.63678794822219,1.0,0.949999988079071,2.377843667667401,0.1,2.588181734085083,9,4.946568548679352,0.5848480567666373,30.15613967180252,4.0,0.2222222222222222,17.636759686637003,1.0,R1,00000_000531
-7.001854651633721e-11,-2.051874739006365e-06,-0.7,-2.0265579223632812e-05,0.0,-8.463859558105469e-06,-3.414769043086352e-07,-9.5367431640625e-06,5.0,-0.47058823529411764,-1.5301596942407514e-05,0.0,8,0.9499980888410542,2.628878876110041,1.0,2.8657326698303223,12,5.522444427013397,0.5656876572647116,29.01157347112894,0.0,1.0,16.41148903044599,1.0,0.9499980887710356,2.628876824235302,0.3,2.8657124042510986,12,5.522435963153839,0.5656873157878073,29.011563934385777,5.0,0.5294117647058824,16.411473728849046,1.0,R2,00000_001492
9.255915244255064e-07,7.971784290461414e-07,-1.0,0.00011277198791503906,0.0,-1.2233853340148926e-05,9.93889869183029e-07,-0.00012142211198806763,5.0,-0.9411764705882353,-3.366686200223512e-05,0.0,9,0.9149108647097461,2.774424483111642,1.0,2.671743392944336,13,6.526019603013992,0.503636574671664,27.654849998652935,0.0,1.0,13.927993926380235,1.0,0.9149117903012706,2.774425280290071,0.0,2.671856164932251,13,6.526007369160652,0.5036375685615332,27.654728576540947,5.0,0.058823529411764705,13.927960259518233,1.0,R2,00000_001492
