corruption_probability,metric,estimate,ci_low,ci_high,bootstrap_unit,bootstrap_reps
0.0,CAR,0.46,0.30534909909909913,0.7285353535353538,episode,200
0.0,FAR,0.07423580786026202,0.0260841332580463,0.13334101382488478,episode,200
0.0,SR,3.257142857142857,1.0687815890558665,547371.5981066333,episode,200
0.0,activation_rate,0.1436950146627566,0.059807734957435556,0.2392080745341615,episode,200
0.0,noop_rate,0.8563049853372434,0.7607919254658385,0.9401922650425645,episode,200
0.1,CAR,0.24,0.10227272727272728,0.45767080745341626,episode,200
0.1,FAR,0.0611353711790393,0.020384972170686456,0.09579467285234364,episode,200
0.1,SR,2.261904761904762,0.4543906093906094,19213888.186187707,episode,200
0.1,activation_rate,0.09970674486803519,0.044574689905902486,0.17721281078803203,episode,200
0.1,noop_rate,0.9002932551319648,0.8227871892119679,0.9554253100940976,episode,200
0.2,CAR,0.22,0.11425876010781671,0.3455138339920949,episode,200
0.2,FAR,0.043668122270742356,0.009128324835677867,0.08757749893583551,episode,200
0.2,SR,3.460714285714286,0.9265507329692441,23449568.96551724,episode,200
0.2,activation_rate,0.07917888563049853,0.028827605737035866,0.13476758035005354,episode,200
0.2,noop_rate,0.9208211143695014,0.8652324196499466,0.9711723942629641,episode,200
0.3,CAR,0.24,0.05839460784313726,0.46875,episode,200
0.3,FAR,0.05240174672489083,0.01692383010331555,0.09739769227008264,episode,200
0.3,SR,1.8903061224489797,0.5436815017269044,12.964392324093822,episode,200
0.3,activation_rate,0.07331378299120235,0.030535714285714284,0.1175125617706906,episode,200
0.3,noop_rate,0.9266862170087976,0.8824874382293094,0.9694642857142857,episode,200
