corruption_probability,CAR,FAR,SR,activation_rate,noop_rate,R1_activation_rate,R2_activation_rate,R3_activation_rate,n_samples,n_CAR_eligible,n_FAR_eligible
0.0,0.46,0.07423580786026202,3.257142857142857,0.1436950146627566,0.8563049853372434,0.2857142857142857,0.08771929824561403,0.06086956521739131,341.0,50.0,229.0
0.1,0.24,0.0611353711790393,2.261904761904762,0.09970674486803519,0.9002932551319648,0.17857142857142858,0.07894736842105263,0.043478260869565216,341.0,50.0,229.0
0.2,0.22,0.043668122270742356,3.460714285714286,0.07917888563049853,0.9208211143695014,0.15178571428571427,0.043859649122807015,0.043478260869565216,341.0,50.0,229.0
0.3,0.24,0.05240174672489083,1.8903061224489797,0.07331378299120235,0.9266862170087976,0.11607142857142858,0.06140350877192982,0.043478260869565216,341.0,50.0,229.0
