arm,correct_activation,dataset,dot_safe,episode_id,false_activation,gate_active,lambda_hard_learned,lambda_soft_learned,lambda_soft_used,path_index,regime,soft_force_norm,soft_force_perp_norm
fixed,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.05792321637272835,0.08839361369609833,0.0,48,R2,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.04491841793060303,0.07631441950798035,0.0,60,R2,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.04491841793060303,0.07631441950798035,0.0,60,R2,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.04491841793060303,0.07631441950798035,0.0,60,R2,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.045725662261247635,0.08121892064809799,0.0,72,R2,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.045725662261247635,0.08121892064809799,0.0,72,R2,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.045725662261247635,0.08121892064809799,0.0,72,R2,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_04,0,0,0.12135251611471176,0.152072936296463,0.0,0,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_04,0,0,0.12135251611471176,0.152072936296463,0.0,0,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_04,0,0,0.12135251611471176,0.152072936296463,0.0,0,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_04,0,0,0.10789421200752258,0.14062123000621796,0.0,12,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_04,0,0,0.10789421200752258,0.14062123000621796,0.0,12,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_04,0,0,0.10789421200752258,0.14062123000621796,0.0,12,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_04,0,0,0.09609811007976532,0.1290913075208664,0.0,24,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_04,0,0,0.09609811007976532,0.1290913075208664,0.0,24,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_04,0,0,0.09609811007976532,0.1290913075208664,0.0,24,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_04,0,0,0.08469007164239883,0.11789578944444656,0.0,36,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_04,0,0,0.08469007164239883,0.11789578944444656,0.0,36,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_04,0,0,0.08469007164239883,0.11789578944444656,0.0,36,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_04,0,0,0.07783805578947067,0.1102512925863266,0.0,48,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_04,0,0,0.07783805578947067,0.1102512925863266,0.0,48,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_04,0,0,0.07783805578947067,0.1102512925863266,0.0,48,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_04,0,0,0.07139536738395691,0.10208645462989807,0.0,60,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_04,0,0,0.07139536738395691,0.10208645462989807,0.0,60,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_04,0,0,0.07139536738395691,0.10208645462989807,0.0,60,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_04,0,0,0.04305550828576088,0.07629779726266861,0.0,72,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_04,0,0,0.04305550828576088,0.07629779726266861,0.0,72,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_04,0,0,0.04305550828576088,0.07629779726266861,0.0,72,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_05,0,0,0.10937069356441498,0.14074188470840454,0.0,0,R1,0.0,0.0
