arm,best_feasible_primitive_risk,episode_id,event_step,feasible_primitive_count,gate_decision,hard_contact,lam_hard_used,lam_soft_learned,lam_soft_used,movement_m,next_x,next_y,nominal_primitive_risk,opening_step,position_x,position_y,predicted_risk_improvement,risk,sdf_clearance_m,selected_direction_col,selected_direction_row,selected_endpoint_col,selected_endpoint_row,selected_ray_min_clearance_m,soft_multiplier,speed,stage_goal_x,stage_goal_y,step
gate_on,inf,0,25,0,0,0,0.06309914588928223,0.09556590765714645,0.0,0.0683220848441124,18.106569290161133,57.91447448730469,0.47515857219696045,35,18.0,58.0,nan,0.4110585153102875,1.1180340051651,0.0,0.0,18.0,58.0,nan,0.0,13.664316177368164,28.0,50.0,0
gate_on,inf,0,25,0,0,0,0.06311944872140884,0.09555634111166,0.0,0.1276027113199234,18.30523681640625,57.7542839050293,0.47515857219696045,35,18.106569290161133,57.91447448730469,nan,0.4110585153102875,1.1180340051651,0.0,0.0,18.106569290161133,57.91447448730469,nan,0.0,25.520681381225586,28.0,50.0,1
gate_on,inf,0,25,0,0,0,0.06315720081329346,0.09553824365139008,0.0,0.1800612360239029,18.585346221923828,57.527950286865234,0.47515857219696045,35,18.30523681640625,57.7542839050293,nan,0.4501025378704071,0.7071067690849304,0.0,0.0,18.30523681640625,57.7542839050293,nan,0.0,36.012264251708984,28.0,50.0,2
gate_on,inf,0,25,0,0,0,0.06311753392219543,0.09583302587270737,0.0,0.23338617384433746,18.947128295898438,57.233009338378906,0.47515857219696045,35,18.585346221923828,57.527950286865234,nan,0.47515857219696045,0.5,0.0,0.0,18.585346221923828,57.527950286865234,nan,0.0,46.67706298828125,29.0,49.0,3
gate_on,inf,0,25,0,0,0,0.059558577835559845,0.092534139752388,0.0,0.2775390148162842,19.3756160736084,56.880149841308594,0.5675027966499329,35,18.947128295898438,57.233009338378906,nan,0.47515857219696045,0.5,0.0,0.0,18.947128295898438,57.233009338378906,nan,0.0,55.50783920288086,29.0,49.0,4
gate_on,inf,0,25,0,0,1,0.05965042486786842,0.09250040352344513,0.0,0.31545859575271606,19.86053466796875,56.47652816772461,0.5585997700691223,35,19.3756160736084,56.880149841308594,nan,0.5585997700691223,0.0,0.0,0.0,19.3756160736084,56.880149841308594,nan,0.0,63.09176254272461,29.0,49.0,5
gate_on,inf,0,25,0,0,1,0.05602675676345825,0.08896097540855408,0.0,0.35536131262779236,20.404151916503906,56.018699645996094,0.6840909123420715,35,19.86053466796875,56.47652816772461,nan,0.5585997700691223,0.0,0.0,0.0,19.86053466796875,56.47652816772461,nan,0.0,71.07209777832031,30.0,48.0,6
gate_on,inf,0,25,0,0,1,0.0561271570622921,0.08891473710536957,0.0,0.38862574100494385,20.995508193969727,55.51430130004883,0.5798310041427612,35,20.404151916503906,56.018699645996094,nan,0.6840909123420715,0.0,0.0,0.0,20.404151916503906,56.018699645996094,nan,0.0,77.72518157958984,30.0,48.0,7
gate_on,inf,0,25,0,0,1,0.05743701756000519,0.09033177047967911,0.0,0.42412295937538147,21.6489200592041,54.9734001159668,0.6107276082038879,35,20.995508193969727,55.51430130004883,nan,0.6107276082038879,0.0,0.0,0.0,20.995508193969727,55.51430130004883,nan,0.0,84.82471466064453,32.0,48.0,8
gate_on,inf,0,25,0,0,1,0.055674031376838684,0.08864312618970871,0.0,0.45729556679725647,22.361042022705078,54.39950180053711,0.4750942587852478,35,21.6489200592041,54.9734001159668,nan,0.4750942587852478,0.0,0.0,0.0,21.6489200592041,54.9734001159668,nan,0.0,91.45903015136719,32.0,48.0,9
gate_on,inf,0,25,0,0,0,0.05390403792262077,0.0868518278002739,0.0,0.4870363473892212,23.13117218017578,53.80308151245117,0.4681614339351654,35,22.361042022705078,54.39950180053711,nan,0.4681614339351654,0.5,0.0,0.0,22.361042022705078,54.39950180053711,nan,0.0,97.40737915039062,34.0,48.0,10
