group,support,precision,recall,iou
low,2281,0.144968732234224,0.5589653660675142,0.1300887664524028
grass,76478,0.8907604083626919,0.45292763932111196,0.429093476698957
bush,42181,0.49639076983761754,0.8950238258931746,0.46908042692245566
high_soft,2206,0.23326133909287258,0.04895738893925657,0.04217102694260055
hard,16287,0.8627490172563129,0.7950512678823601,0.7057829617921186
other,427,0.6359447004608295,0.9695550351288056,0.6234939759036144
