map_source,CAR,FAR,SR,activation_rate,noop_rate,R1_activation_rate,R2_activation_rate,R3_activation_rate,n_samples,n_CAR_eligible,n_FAR_eligible
ground_truth,0.7248908296943232,0.19649948521841448,2.0201027998121925,0.2788245631162745,0.7211754368837255,0.4413472706155633,0.21847762928529924,0.17396484956806674,10243.0,1832.0,6799.0
predicted,0.7008733624454149,0.20561847330489777,1.891081267786273,0.2923948062091184,0.7076051937908816,0.4637049941927991,0.24520627542126672,0.16502829907655645,10243.0,1832.0,6799.0
