scene_id,sequence,observed_cells,group_accuracy,changed_fraction
00003_000057,00003,1862,0.6353383458646616,0.36466165413533835
00003_000076,00003,2005,0.6344139650872818,0.3655860349127182
00003_000099,00003,2049,0.6412884333821376,0.35871156661786235
00003_000108,00003,2116,0.6294896030245747,0.3705103969754253
00003_000225,00003,2629,0.5952833777101559,0.40471662228984406
00003_000263,00003,2730,0.617948717948718,0.382051282051282
00003_000272,00003,2655,0.632768361581921,0.3672316384180791
00003_000279,00003,2541,0.6367571822117276,0.36324281778827233
00003_000307,00003,2574,0.6332556332556333,0.3667443667443667
00003_000316,00003,2659,0.6649116209101166,0.3350883790898834
00003_000335,00003,2679,0.6480029861888764,0.3519970138111235
00003_000357,00003,2535,0.6457593688362919,0.3542406311637081
00003_000373,00003,2503,0.6444266879744307,0.3555733120255693
00003_000381,00003,2427,0.6060980634528225,0.3939019365471776
00003_000383,00003,2421,0.6323833126807105,0.36761668731928954
00003_000455,00003,2352,0.610969387755102,0.38903061224489793
00003_000611,00003,2073,0.6391702846116739,0.3608297153883261
00003_000642,00003,2111,0.6409284699194695,0.35907153008053055
00003_000672,00003,2201,0.6778736937755566,0.32212630622444344
00003_000680,00003,2212,0.656871609403255,0.34312839059674505
00003_000688,00003,2221,0.6222422332282755,0.37775776677172446
00003_000793,00003,2421,0.6584056175134242,0.3415943824865758
00003_000817,00003,2216,0.7314981949458483,0.2685018050541516
00003_000831,00003,2161,0.6691346598796853,0.33086534012031465
00003_000862,00003,2339,0.6400171013253527,0.3599828986746473
00003_000938,00003,2669,0.67740726863994,0.32259273136005995
00003_000952,00003,2705,0.599630314232902,0.40036968576709797
00003_000958,00003,2688,0.6811755952380952,0.31882440476190477
00003_001027,00003,2478,0.6602098466505246,0.3397901533494754
00003_001033,00003,2462,0.7112103980503656,0.28878960194963443
00003_001034,00003,2505,0.6930139720558882,0.3069860279441118
00003_001038,00003,2487,0.7137112987535182,0.2862887012464817
00003_001102,00003,2494,0.6535685645549318,0.34643143544506816
00003_001124,00003,2411,0.7009539610120282,0.2990460389879718
00003_001185,00003,1951,0.7688364941055869,0.23116350589441312
00003_001258,00003,2311,0.7105149286023367,0.28948507139766333
00003_001298,00003,2676,0.695067264573991,0.30493273542600896
00003_001300,00003,2726,0.6848862802641232,0.31511371973587676
00003_001372,00003,2717,0.6507177033492823,0.3492822966507177
00003_001404,00003,2633,0.5970375996961641,0.40296240030383595
00003_001631,00003,3125,0.49632,0.50368
00003_001643,00003,3105,0.5043478260869565,0.4956521739130435
00003_001743,00003,2908,0.44807427785419535,0.5519257221458047
00003_001766,00003,2855,0.38774080560420315,0.6122591943957969
00003_001770,00003,2927,0.43423300307482066,0.5657669969251794
00003_001804,00003,2924,0.48084815321477425,0.5191518467852257
00003_001808,00003,2896,0.48204419889502764,0.5179558011049724
00003_001856,00003,2974,0.5295897780766644,0.4704102219233356
00003_001891,00003,2704,0.5414201183431953,0.45857988165680474
00003_001894,00003,2736,0.5679824561403509,0.43201754385964913
00003_001944,00003,2038,0.7080471050049068,0.29195289499509325
00003_001951,00003,2014,0.7035749751737835,0.29642502482621647
00003_001958,00003,2040,0.6779411764705883,0.3220588235294118
00003_001980,00003,2016,0.6830357142857143,0.3169642857142857
00003_001989,00003,2020,0.6747524752475248,0.32524752475247526
00003_002109,00003,1999,0.6608304152076038,0.3391695847923962
00003_002125,00003,1974,0.6666666666666666,0.3333333333333333
