epoch,loss,unweighted_accuracy,elapsed_seconds
0,1.2166639960157244,0.6123032497810599,0.7328747110150289
1,0.8316383425364221,0.7330208999029563,0.7217662049806677
2,0.7435306659881686,0.750848540793865,0.6975122860167176
3,0.7074372181816437,0.7603375227816043,0.7140596710087266
4,0.6828353203528901,0.7670524746147838,0.6998472299892455
5,0.6662649759766832,0.7716750692324079,0.6801354880153667
6,0.6535987484023124,0.775126038486118,0.7133009799872525
7,0.6434778470477143,0.7771686903832044,0.683931448002113
8,0.6357181598988987,0.7789296788089659,0.7197227760043461
9,0.6283102285526482,0.780799545551374,0.7271561179950368
10,0.6220428219061411,0.7820729484721531,0.7302323750045616
11,0.6171661659834294,0.782787758290137,0.726214511989383
