compute_ms,curvature_energy,event_type,event_window_cvar_risk,event_window_cvar_violation,event_window_mean_risk,event_window_risk_exposure,full_episode_cvar_risk,full_episode_cvar_violation,hard_hazard_length_m,method,n,path_length_ratio,post_event_cvar_risk,post_event_cvar_violation,post_event_mean_risk,post_event_risk_exposure,reaction_delay,replans,risk_exposure,route_deviation_delay,stale_exposure,stuck,success
0.0,184.37037871509983,corridor_closes,0.5355632670572461,0.550670059762916,0.489421181364186,18.086977329089237,0.5399228569404401,0.5593596720255857,0.09071,dwa_semantic,100.0,1.4312196526687522,0.536260481541253,0.5513672742469231,0.49023847669676035,21.626199667766883,3.36,0.0,28.54751632337588,2.4,1.0484346118511407,0.54,0.54
0.0,313.7041029864275,corridor_closes,0.5527205748926196,0.5927205748926196,0.5090841255415832,16.374453183252925,0.5526500214973931,0.5964254552216631,0.032071,semantic_apf,100.0,1.2441960891233455,0.5521087371257711,0.5921087371257712,0.5094738364976695,19.257369745800666,10.94,0.0,25.725902912394407,58.84,1.9436140042220353,0.37,0.63
0.0,197.34890850253203,corridor_closes,0.555446583204986,0.5882493896812612,0.5107476140973756,15.51546412206876,0.555720674988699,0.5903285391265833,0.08242600000000001,route_aware_stage2,100.0,1.1424872005583153,0.5553422169116188,0.588145023387894,0.5108730209538741,17.127648746009882,7.18,0.0,23.452365910840182,33.83,1.3516783361087443,0.21,0.79
0.0,171.82981262296562,corridor_opens,0.5386085349491652,0.5386085349491652,0.47849307283726233,17.321273731746953,0.5430777620908971,0.5430777620908971,0.0,dwa_semantic,100.0,1.382933634404919,0.5392224307978082,0.5392224307978082,0.47969666963518603,20.37644753990138,2.29,0.0,27.253279225420155,1.95,0.7141989070705472,0.49,0.59
0.0,33.92676512874468,corridor_opens,0.5670724574228303,0.5670724574228303,0.5076089307182474,13.616423386491938,0.5638357770080025,0.5638357770080025,0.0,semantic_apf,100.0,0.9938340878840148,0.5671828898423871,0.5671828898423871,0.5078148932199124,13.722525552229984,8.56,0.0,20.19994561142444,68.0,1.7822289914551674,0.13,0.99
0.0,52.08066872399841,corridor_opens,0.5611592716293515,0.5611592716293515,0.49467735343807157,13.921963108048839,0.560401752518594,0.560401752518594,0.0,route_aware_stage2,100.0,1.0354767847004562,0.5612000102498927,0.5612000102498927,0.49490449968330935,14.16401035275595,5.12,0.0,20.848392942319492,31.43,1.0847833775880633,0.18,0.97
0.0,171.66326304869727,crossing_obstacle,0.5466300844563446,0.5592251670268489,0.4989810936416184,18.00715105978466,0.5482880170820079,0.5591813391546256,0.061568,dwa_semantic,100.0,1.3891654018029111,0.5471544735197265,0.5597495560902307,0.5000066571925245,21.29581399944211,3.2,0.0,28.21713065505111,2.38,0.9773515582872478,0.46,0.6
0.0,7.938863040126253,crossing_obstacle,0.5681522578836694,0.5681522578836694,0.5281570334260597,13.523509964800537,0.565085192362147,0.565085192362147,0.0,semantic_apf,100.0,0.9585100841484067,0.5681522578836694,0.5681522578836694,0.5281570334260597,13.523509964800537,10.3,0.0,19.992043131394276,80.0,2.1961595786784884,0.0,1.0
0.0,9.043025032498123,crossing_obstacle,0.560964534371852,0.560964534371852,0.512910560057599,13.471458878361341,0.5584016644110583,0.5584016644110583,0.0,route_aware_stage2,100.0,0.9741893376927412,0.560964534371852,0.560964534371852,0.512910560057599,13.471458878361341,8.17,0.0,19.796176043191636,35.79,1.597126728907138,0.0,1.0
0.0,204.8066283281054,delayed_escape_opens,0.6756998758145448,0.6756998758145448,0.4759168862755073,17.879274291930045,0.6459398775180677,0.6459398775180677,0.0,dwa_semantic,100.0,1.43227713410404,0.6640019367670186,0.6640019367670186,0.47419761803193256,21.43277781774178,2.2,0.0,28.483208464117578,1.96,0.9149835734051764,0.57,0.54
0.0,61.57546870723454,delayed_escape_opens,0.9071762150485155,0.9071762150485155,0.5674351516650975,16.03216183767734,0.8283637341730348,0.8283637341730348,0.0,semantic_apf,100.0,1.031764386871859,0.9061336053756425,0.9061336053756425,0.5673309096529547,16.155495306475082,6.71,0.0,22.880777567856867,58.91,2.1902212879208025,0.26,0.98
0.0,75.18788002804888,delayed_escape_opens,0.8609507040666178,0.8609507040666178,0.5334438048918873,15.651516541392743,0.785237791714563,0.785237791714563,0.0,route_aware_stage2,100.0,1.070322252631771,0.8593819992686603,0.8593819992686603,0.5333403636086214,15.989459079008464,5.57,0.0,22.895671004521216,29.62,1.7985755041117966,0.24,0.97
0.0,165.8772074685586,moving_obstacle_blocks_detour,0.5436702673571915,0.6059570125684267,0.49655263173246406,18.050276452937076,0.5457753765351214,0.6055811867353289,0.342988,dwa_semantic,100.0,1.3902671974560992,0.544199938366711,0.6009543308117327,0.497682132031862,21.206938491806877,3.98,0.0,28.128255147415874,2.84,1.1093475503648964,0.48,0.61
0.0,31.620948215894725,moving_obstacle_blocks_detour,0.5679770395011778,1.1822333726192935,0.5276392958078864,14.185627259195421,0.5650226442772588,1.1738330540749873,0.231568,semantic_apf,100.0,0.9929386097659477,0.5679353133332838,1.1822121445311005,0.5276517863603002,14.282142568410013,11.61,0.0,20.750675735003753,48.33,1.5141180533855556,0.42,0.99
0.0,16.155308704033146,moving_obstacle_blocks_detour,0.5613055426111145,0.7430786622942397,0.5123193973363063,13.871458005614754,0.5588255238305997,0.716543801084821,0.651124,route_aware_stage2,100.0,0.9935471401425324,0.5613781909291351,0.7425037565876726,0.5124170232648955,13.96388754526311,5.74,0.0,20.288604710093406,28.0,1.116749550117463,0.04,0.99
0.0,177.86877681588223,mud_onset,0.6954844792403463,0.6954844792403463,0.5466638657158946,19.92208648622077,0.6672525027316781,0.6672525027316781,0.0,dwa_semantic,100.0,1.409489561267046,0.687891876297253,0.687891876297253,0.5451479662809782,23.578458332592604,2.76,0.0,30.692985756606785,2.12,1.2424047770823536,0.49,0.57
0.0,7.975874056630338,mud_onset,0.8967205419139508,0.8967205419139508,0.6172684033183173,15.695645376240163,0.8107917040872711,0.8107917040872711,0.0,semantic_apf,100.0,0.9586208784326842,0.8967205419139508,0.8967205419139508,0.6172684033183173,15.695645376240163,10.3,0.0,22.432221375670093,80.0,3.2676942033806737,0.0,1.0
0.0,9.123215568256974,mud_onset,0.8532287560641854,0.8532287560641854,0.5949552040094737,15.548705622302652,0.7774531336074341,0.7774531336074341,0.0,route_aware_stage2,100.0,0.9743040451595694,0.8532287560641854,0.8532287560641854,0.5949552040094737,15.548705622302652,8.23,0.0,22.13935211118269,33.42,2.475653167723417,0.0,1.0
0.0,191.82809854067295,mud_onset_detour_blocked,0.7001042843339773,0.7198146340152642,0.5583932441037835,20.994920896953495,0.6736118990324591,0.6968783536602109,0.10399399999999998,dwa_semantic,100.0,1.4598970742192245,0.6925060049353919,0.7122163546166788,0.5570317488943997,25.401677789432497,2.73,0.0,32.516205213446675,2.13,1.2234752136099936,0.56,0.5
0.0,313.6670919699234,mud_onset_detour_blocked,0.8742016162232266,0.9142016162232265,0.6360938420280714,20.9177182198531,0.8036788273743359,0.8478725795434648,0.032071,semantic_apf,100.0,1.244306883407623,0.8624249410689429,0.9024249410689429,0.6337755668613888,24.88750134154295,10.94,0.0,31.62407734097287,58.84,2.9540868575612005,0.37,0.63
0.0,197.52162657955105,mud_onset_detour_blocked,0.8540001048162016,0.9024305164637981,0.6205039001195825,18.796776932998096,0.7880242582029373,0.8393760664225841,0.09071000000000001,route_aware_stage2,100.0,1.1366523563638493,0.8494932877930327,0.8979236994406294,0.6196216028548281,20.879754532033356,7.35,0.0,27.470401020913393,31.63,2.1342722879670264,0.22,0.78
0.0,176.906490386776,puddle_expansion,0.6088996590250765,0.6088996590250765,0.5213826431957228,19.156898549829407,0.6001203203187884,0.6001203203187884,0.0,dwa_semantic,100.0,1.4113656732189321,0.610423921566283,0.610423921566283,0.5248667514982119,23.107544411549885,2.52,0.0,30.05058632577905,1.39,0.8327676680897921,0.49,0.58
