Method,CAR,FAR,SR,AUPRC,Source
Stage 1,0.0,0.0,0.0,0.0,existing main table
Scalar Stage 2,0.3784130318825985,0.7520294235662124,1.0307272852081046,0.008252227610280593,existing main table
Non-route directional Stage 2,0.13531361230763284,0.17804056929998593,1.1653310234871574,0.20589428859357736,existing main table
Route-aware Stage 2,0.7267325846197495,0.21371622156700895,1.8582747183564656,nan,existing main table
Black-box CVaR local policy,0.883598,0.128565,1.292214,0.20589428859357736,directional local policy proxy
Constant-coeff Stage 2,0.5661375661375662,0.8877481177275839,1.1230461597442627,0.007986001662076934,fixed lambda force samples
