Event,Method,React. delay,Opp.-norm delay,Stale exp,Post-event CVaR,Success,Stuck
mud_onset,DWA semantic,2.2,0.027499999999999997,1.1382959755477309,0.7829601608049415,0.85,0.25
mud_onset,Local A*,23.0,0.2875,4.859653931739331,0.8246966227678458,1.0,0.0
mud_onset,Route-aware S2,11.6,0.145,2.5932852173984053,0.8628706338043862,1.0,0.0
mud_onset,Black-box CVaR,5.1,0.06374999999999999,0.9167683243599534,0.5419581820892955,0.25,0.75
mud_onset,Stage 2 expected cost,11.3,0.14125,2.5950495357707144,0.9001991853508754,1.0,0.0
mud_onset,Constant-coeff S2,1.5,0.018750000000000006,0.43147732313483955,0.5375351132298608,0.6,0.4
corridor_closes,DWA semantic,3.05,0.038125,0.9531419160984456,0.6119371829994887,0.8,0.4
corridor_closes,Local A*,23.2,0.29000000000000004,3.964277459518611,0.5522620824145215,1.0,0.0
corridor_closes,Route-aware S2,10.1,0.12625,1.5294489175510406,0.5927157152681735,0.85,0.15
corridor_closes,Black-box CVaR,5.1,0.06374999999999999,0.8050613403168321,0.4734510024257733,0.25,0.75
corridor_closes,Stage 2 expected cost,10.65,0.133125,1.7697241620506348,0.5652759004211684,0.85,0.15
corridor_closes,Constant-coeff S2,1.35,0.016875000000000005,0.3532648621454834,0.4714405516822443,0.25,0.75
corridor_opens,DWA semantic,0.9,0.011250000000000001,0.2422515448102355,0.562856236276456,0.85,0.25
corridor_opens,Local A*,17.5,0.21875,3.601451759157181,0.5499683928746399,1.0,0.0
corridor_opens,Route-aware S2,5.9,0.07375,1.0325078412252666,0.5597914768493586,1.0,0.25
corridor_opens,Black-box CVaR,1.45,0.018125000000000002,0.37687075608968734,0.47507043818586114,0.25,0.75
corridor_opens,Stage 2 expected cost,5.85,0.073125,1.018052550688982,0.5607749230628614,1.0,0.1
corridor_opens,Constant-coeff S2,1.3,0.016250000000000004,0.33452002681054166,0.4680455873671395,0.35,0.65
