arm,correct_activation,dataset,dot_safe,episode_id,false_activation,gate_active,lambda_hard_learned,lambda_soft_learned,lambda_soft_used,path_index,raw_soft_force_norm,raw_soft_force_perp_norm,regime,soft_force_norm,soft_force_perp_norm
learned,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.10697728395462036,0.13847295939922333,0.0,12,0.04398825764656067,0.011792628094553947,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.10697728395462036,0.13847295939922333,0.0,12,0.47650015354156494,0.1277429312467575,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.10279268771409988,0.13428394496440887,0.0,18,0.0,0.0,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.10279268771409988,0.13428394496440887,0.0,18,0.02027580328285694,0.02009855955839157,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.10279268771409988,0.13428394496440887,0.0,18,0.22648800909519196,0.224508136510849,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.09739203751087189,0.12905995547771454,0.0,24,0.0,0.0,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.09739203751087189,0.12905995547771454,0.0,24,0.06414864212274551,0.06145786494016647,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.09739203751087189,0.12905995547771454,0.0,24,0.745567798614502,0.7142943143844604,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.09084255993366241,0.1228819191455841,0.0,30,0.0,0.0,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.09084255993366241,0.1228819191455841,0.0,30,0.012620619498193264,0.007221444509923458,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.09084255993366241,0.1228819191455841,0.0,30,0.15405789017677307,0.08815102279186249,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.08515508472919464,0.11742591857910156,0.0,36,0.0,0.0,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.08515508472919464,0.11742591857910156,0.0,36,0.015601230785250664,0.0036106237675994635,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.08515508472919464,0.11742591857910156,0.0,36,0.19929027557373047,0.046122148633003235,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.08061881363391876,0.11285166442394257,0.0,42,0.0,0.0,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.08061881363391876,0.11285166442394257,0.0,42,0.020447436720132828,0.00983189232647419,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.08061881363391876,0.11285166442394257,0.0,42,0.27178293466567993,0.13068339228630066,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.07807650417089462,0.10967227816581726,0.0,48,0.0,0.0,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.07807650417089462,0.10967227816581726,0.0,48,0.007726359646767378,0.004884553607553244,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.07807650417089462,0.10967227816581726,0.0,48,0.10567428916692734,0.06680658459663391,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.07674095034599304,0.1115674376487732,0.0,54,0.0,0.0,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.07674095034599304,0.1115674376487732,0.0,54,0.0,0.0,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.07674095034599304,0.1115674376487732,0.0,54,0.0,0.0,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.07135370373725891,0.10367303341627121,0.0,60,0.0,0.0,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.07135370373725891,0.10367303341627121,0.0,60,0.0,0.0,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.07135370373725891,0.10367303341627121,0.0,60,0.0,0.0,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.04974880814552307,0.07992005348205566,0.0,66,0.0,0.0,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.04974880814552307,0.07992005348205566,0.0,66,0.0,0.0,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.04974880814552307,0.07992005348205566,0.0,66,0.0,0.0,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.042492352426052094,0.07525038719177246,0.0,72,0.0,0.0,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.042492352426052094,0.07525038719177246,0.0,72,1.4337725815494196e-06,2.5372534295797777e-08,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.042492352426052094,0.07525038719177246,0.0,72,2.8580037906067446e-05,5.057621592641226e-07,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.045585475862026215,0.07763725519180298,0.0,78,0.0,0.0,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.045585475862026215,0.07763725519180298,0.0,78,0.029216928407549858,0.029184790328145027,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.045585475862026215,0.07763725519180298,0.0,78,0.5644891858100891,0.5638682842254639,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.051824431866407394,0.07949177175760269,0.0,84,0.0,0.0,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.051824431866407394,0.07949177175760269,0.0,84,0.05392175167798996,0.05017987638711929,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.051824431866407394,0.07949177175760269,0.0,84,1.0174968242645264,0.9468880891799927,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_02,0,1,0.10637319833040237,0.13872011005878448,0.0,0,0.0,0.0,R3,0.0,0.0
learned,0,RELLIS-3D,0.0030926596373319626,00003_001631_02,0,1,0.10637319833040237,0.13872011005878448,0.13872011005878448,0,0.02173708565533161,0.02106166072189808,R3,0.02173708565533161,0.02106166072189808
fixed,1,RELLIS-3D,0.03344137221574783,00003_001631_02,0,1,0.10637319833040237,0.13872011005878448,1.5,0,0.2350461483001709,0.22774268686771393,R3,0.2350461483001709,0.22774268686771393
zero,0,RELLIS-3D,0.0,00003_001631_02,0,1,0.10595528781414032,0.13956302404403687,0.0,6,0.0,0.0,R3,0.0,0.0
learned,1,RELLIS-3D,0.03278933838009834,00003_001631_02,0,1,0.10595528781414032,0.13956302404403687,0.13956302404403687,6,0.05045153200626373,0.04797261953353882,R3,0.05045153200626373,0.04797261953353882
fixed,1,RELLIS-3D,0.3524142801761627,00003_001631_02,0,1,0.10595528781414032,0.13956302404403687,1.5,6,0.5422446131706238,0.515601634979248,R3,0.5422446131706238,0.515601634979248
zero,0,RELLIS-3D,0.0,00003_001631_02,0,0,0.1031283438205719,0.13199451565742493,0.0,12,0.0,0.0,R3,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_02,0,0,0.1031283438205719,0.13199451565742493,0.0,12,0.0451180674135685,0.0330544039607048,R3,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_02,0,0,0.1031283438205719,0.13199451565742493,0.0,12,0.5127266049385071,0.3756338357925415,R3,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_02,0,0,0.0942063182592392,0.12488972395658493,0.0,18,0.0,0.0,R3,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_02,0,0,0.0942063182592392,0.12488972395658493,0.0,18,0.010218789801001549,0.0040097483433783054,R3,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_02,0,0,0.0942063182592392,0.12488972395658493,0.0,18,0.12273374199867249,0.048159465193748474,R3,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_02,0,0,0.08205129206180573,0.11435579508543015,0.0,24,0.0,0.0,R3,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_02,0,0,0.08205129206180573,0.11435579508543015,0.0,24,0.014304515905678272,0.010632089339196682,R3,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_02,0,0,0.08205129206180573,0.11435579508543015,0.0,24,0.18763169646263123,0.13946065306663513,R3,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_02,0,0,0.07660695910453796,0.11366087943315506,0.0,30,0.0,0.0,R3,0.0,0.0
