arm,best_feasible_primitive_risk,episode_id,event_step,feasible_primitive_count,gate_decision,hard_contact,lam_hard_used,lam_soft_learned,lam_soft_used,movement_m,next_x,next_y,nominal_primitive_risk,opening_step,position_x,position_y,predicted_risk_improvement,risk,sdf_clearance_m,selected_direction_col,selected_direction_row,selected_endpoint_col,selected_endpoint_row,selected_ray_min_clearance_m,soft_multiplier,speed,stage_goal_x,stage_goal_y,step
gate_off,inf,0,25,0,0,0,0.06309914588928223,0.09556590765714645,0.09556590765714645,0.0683201402425766,18.1065673828125,57.91447830200195,0.47515857219696045,35,18.0,58.0,nan,0.4110585153102875,1.1180340051651,0.0,0.0,18.0,58.0,nan,1.0,13.664043426513672,28.0,50.0,0
gate_off,inf,0,25,0,0,0,0.06311944872140884,0.09555629640817642,0.09555629640817642,0.1276007741689682,18.305233001708984,57.75429153442383,0.47515857219696045,35,18.1065673828125,57.91447830200195,nan,0.4110585153102875,1.1180340051651,0.0,0.0,18.1065673828125,57.91447830200195,nan,1.0,25.520164489746094,28.0,50.0,1
gate_off,inf,0,25,0,0,0,0.06315720081329346,0.09553824365139008,0.09553824365139008,0.1800578087568283,18.585336685180664,57.52796173095703,0.47515857219696045,35,18.305233001708984,57.75429153442383,nan,0.4501025378704071,0.7071067690849304,0.0,0.0,18.305233001708984,57.75429153442383,nan,1.0,36.011531829833984,28.0,50.0,2
gate_off,inf,0,25,0,0,0,0.06311753392219543,0.09583307802677155,0.09583307802677155,0.23338007926940918,18.94710922241211,57.233028411865234,0.47515857219696045,35,18.585336685180664,57.52796173095703,nan,0.47515857219696045,0.5,0.0,0.0,18.585336685180664,57.52796173095703,nan,1.0,46.676021575927734,29.0,49.0,3
gate_off,inf,0,25,0,0,0,0.059558577835559845,0.09253409504890442,0.09253409504890442,0.2775333821773529,19.375585556030273,56.88017272949219,0.5675027966499329,35,18.94710922241211,57.233028411865234,nan,0.47515857219696045,0.5,0.0,0.0,18.94710922241211,57.233028411865234,nan,1.0,55.5067138671875,29.0,49.0,4
gate_off,inf,0,25,0,0,1,0.059650395065546036,0.09250040352344513,0.09250040352344513,0.3154529631137848,19.860492706298828,56.47655487060547,0.5585997700691223,35,19.375585556030273,56.88017272949219,nan,0.5585997700691223,0.0,0.0,0.0,19.375585556030273,56.88017272949219,nan,1.0,63.09056854248047,29.0,49.0,5
gate_off,inf,0,25,0,0,1,0.05602675676345825,0.08896097540855408,0.08896097540855408,0.35535475611686707,20.40409278869629,56.01872634887695,0.6840909123420715,35,19.860492706298828,56.47655487060547,nan,0.5585997700691223,0.0,0.0,0.0,19.860492706298828,56.47655487060547,nan,1.0,71.0709228515625,30.0,48.0,6
gate_off,inf,0,25,0,0,1,0.0561271570622921,0.08891473710536957,0.08891473710536957,0.38861972093582153,20.99542999267578,55.51432418823242,0.5798310041427612,35,20.40409278869629,56.01872634887695,nan,0.6840909123420715,0.0,0.0,0.0,20.40409278869629,56.01872634887695,nan,1.0,77.7239990234375,30.0,48.0,7
gate_off,inf,0,25,0,0,1,0.0574369914829731,0.09033177047967911,0.09033177047967911,0.4241178035736084,21.648818969726562,54.973411560058594,0.6107276082038879,35,20.99542999267578,55.51432418823242,nan,0.6107276082038879,0.0,0.0,0.0,20.99542999267578,55.51432418823242,nan,1.0,84.82356262207031,32.0,48.0,8
gate_off,inf,0,25,0,0,1,0.05567400902509689,0.08864317089319229,0.08864317089319229,0.45729145407676697,22.360918045043945,54.399497985839844,0.4750942587852478,35,21.648818969726562,54.973411560058594,nan,0.4750942587852478,0.0,0.0,0.0,21.648818969726562,54.973411560058594,nan,1.0,91.45838165283203,32.0,48.0,9
gate_off,inf,0,25,0,0,0,0.05390403792262077,0.0868518278002739,0.0868518278002739,0.4870377480983734,23.131031036376953,53.80305099487305,0.4681614339351654,35,22.360918045043945,54.399497985839844,nan,0.4681614339351654,0.5,0.0,0.0,22.360918045043945,54.399497985839844,nan,1.0,97.40740966796875,34.0,48.0,10
gate_off,inf,0,25,0,0,0,0.05512038618326187,0.08801159262657166,0.08801159262657166,0.5149145126342773,23.961992263793945,53.194732666015625,0.4011659175157547,35,23.131031036376953,53.80305099487305,nan,0.4109926223754883,1.1180340051651,0.0,0.0,23.131031036376953,53.80305099487305,nan,1.0,102.98294830322266,35.0,48.0,11
gate_off,0.4822365840276082,0,25,1,0,0,0.05221262201666832,0.08478053659200668,0.08478053659200668,0.532252311706543,24.835474014282227,52.5862922668457,0.3959317704041799,35,23.961992263793945,53.194732666015625,-0.08630481362342834,0.426207959651947,1.4142135381698608,1.0,0.0,35.96199035644531,53.194732666015625,1.4142135381698608,1.0,106.45042419433594,35.0,48.0,12
gate_off,0.48866473138332367,0,25,1,0,0,0.051278021186590195,0.08370321989059448,0.08370321989059448,0.5469647645950317,25.748916625976562,51.984375,0.4049055775006612,35,24.835474014282227,52.5862922668457,-0.08375915388266247,0.3563917279243469,1.8027756214141846,1.0,0.0,36.835472106933594,52.5862922668457,1.5,1.0,109.39289855957031,36.0,48.0,13
gate_off,0.4675339609384537,0,25,1,0,0,0.04762374609708786,0.07983051240444183,0.07983051240444183,0.5638414621353149,26.71027374267578,51.39491653442383,0.4225161249438922,35,25.748916625976562,51.984375,-0.045017835994561495,0.3085407614707947,1.1180340051651,1.0,0.0,37.74891662597656,51.984375,1.0,1.0,112.7681884765625,38.0,48.0,14
gate_off,inf,0,25,0,0,0,0.04517362266778946,0.07720035314559937,0.07720035314559937,0.5756176114082336,27.71177864074707,50.82717514038086,0.4318786983688672,35,26.71027374267578,51.39491653442383,nan,0.3419152796268463,1.0,0.0,0.0,26.71027374267578,51.39491653442383,nan,1.0,115.1235122680664,39.0,48.0,15
