actual_clearance_safe_rate,clearance_agreement_rate,complete_horizon_rate,group,hard_contact_disagreement_rate,horizon_crosses_opening_rate,improvement_sign_agreement_rate,mean_absolute_improvement_error,mean_actual_path_min_clearance_m,mean_directional_cosine,mean_endpoint_deviation_m,mean_mean_cross_track_deviation_m,mean_predicted_risk_improvement,mean_realized_risk_improvement,mean_selected_ray_min_clearance_m,median_absolute_improvement_error,median_actual_path_min_clearance_m,median_directional_cosine,median_endpoint_deviation_m,median_mean_cross_track_deviation_m,median_predicted_risk_improvement,median_realized_risk_improvement,median_selected_ray_min_clearance_m,n_complete_horizon,n_gate_positive,predicted_realized_pearson_r
0.5563063063063063,0.5563063063063063,0.9024390243902439,overall,0.25900900900900903,0.11261261261261261,0.5292792792792793,0.1372799662565698,1.9187825885978904,0.705103913839447,4.457556455132969,2.039158147423649,0.13482722314069187,0.008789821048185424,2.254708254659498,0.10367582674975093,1.0,0.7173741939825811,4.597736796720799,2.131592845523421,0.11325898269812262,0.0028231528639210413,1.5,444,492,0.3690308975846691
0.5740072202166066,0.5740072202166066,0.9111842105263158,regime=R1,0.22743682310469315,0.10469314079422383,0.5054151624548736,0.13256545907636683,1.8068009378247312,0.7001478238684403,4.472774183435288,2.037242921650839,0.12224189460790821,0.0031503461622168845,2.261428044591139,0.10550558892276962,1.1180340051651,0.7268468531589516,4.534710505028262,2.10453645695824,0.10290461695856518,1.390775044796122e-06,1.5,277,304,0.23873079338658296
0.6071428571428571,0.6071428571428571,0.8936170212765957,regime=R2,0.23809523809523808,0.09523809523809523,0.6190476190476191,0.11319023870256259,2.878566704335667,0.6916487618959336,4.583670699465036,2.08145548486034,0.16204650243976557,0.05544879605552616,2.4284678938842954,0.0836042414242088,1.5,0.7141430687511068,4.672155794011466,2.156404189479602,0.14135582000017166,0.02798454974553244,1.5,84,94,0.6416074279892685
0.4457831325301205,0.4457831325301205,0.8829787234042553,regime=R3,0.3855421686746988,0.1566265060240964,0.5180722891566265,0.17739388918973628,1.321156703564058,0.7352613799264832,4.279135885691569,2.0027429810909525,0.14928163931489533,-0.019610412171131898,2.0564288389251892,0.13592906558761186,0.5,0.714952991855332,4.5919153636011005,2.1502519634262485,0.15150215849280357,0.0005844288017470278,1.8027756214141846,83,94,0.2933180742616585
0.30097087378640774,0.30097087378640774,1.0,phase=before_event,0.33980582524271846,0.0,0.5048543689320388,0.0706080564223986,0.6909345671968553,0.7058199816571094,4.540266922492129,1.9537545202981788,0.09105184790805994,0.02469575103440361,1.578710463440534,0.07089334386607493,0.5,0.7079739369670319,4.7389650764035895,2.11062788827872,0.07627035996743609,0.0005550552471358938,1.4142135381698608,103,103,0.7055232010931285
0.08771929824561403,0.08771929824561403,1.0,phase=pre_opening,0.8771929824561403,0.8771929824561403,0.05263157894736842,0.32417723597441006,0.19986246447814138,0.7791042213865581,3.776101151714097,1.7750230858187421,0.12501790611977465,-0.1985762955570676,2.8118601305442943,0.35879357441466464,0.0,0.730113327207388,4.485389858502464,2.100806899192251,0.10340894013643265,-0.22246313236157084,2.5,57,57,-0.17100861351267913
0.7429577464788732,0.7429577464788732,0.8554216867469879,phase=post_opening,0.1056338028169014,0.0,0.6338028169014085,0.12394919984460759,2.7090881987356803,0.6899920387852058,4.564330307798047,2.1231450210342233,0.1526722749686967,0.0446403768859282,2.3880537320190753,0.11525951479786534,1.9013878107070923,0.7265007574901812,4.551650283180164,2.175264061251257,0.13790727605422337,0.017273821351832808,1.5811388492584229,284,332,0.5246761600300723
0.31645569620253167,0.31645569620253167,1.0,"regime=R1,phase=before_event",0.27848101265822783,0.0,0.45569620253164556,0.07273276499051395,0.780585574952862,0.705436165557083,4.488078472184435,1.9168924377256498,0.08323773783020316,0.015898827014728577,1.5238137486614758,0.07443778892212999,0.5,0.6761916668777244,5.0282035895205786,2.0517305325238,0.0790032843748728,-0.0011972340478528798,1.4142135381698608,79,79,0.5084920908108722
0.1388888888888889,0.1388888888888889,1.0,"regime=R1,phase=pre_opening",0.8055555555555556,0.8055555555555556,0.08333333333333333,0.2786505098505261,0.3164489020903905,0.8088385404198359,3.3995455404912263,1.6121996890781334,0.12134120878935963,-0.1563861634233508,3.2922594249248505,0.2541502184853648,0.0,0.7406097521783944,4.374549366885621,2.0584467539104128,0.08377814727524915,-0.14260854443987447,2.692582368850708,36,36,-0.04512716940891504
0.7962962962962963,0.7962962962962963,0.8571428571428571,"regime=R1,phase=post_opening",0.07407407407407407,0.0,0.6234567901234568,0.12927978626718564,2.63842863506741,0.6734154486261378,4.703806234884692,2.190386406852736,0.14146259260115787,0.032386052074142885,2.392055203149348,0.12333058752119541,2.0,0.7283955864135738,4.517720387451174,2.176944961745103,0.12890867764751118,0.014104370934137023,1.5811388492584229,162,189,0.35384571086451827
