comparison,dataset,delta_mean_rho,delta_path_length_ratio,delta_risk_exposure,delta_success,episode_id
learned_minus_fixed,RELLIS-3D,-6.99231981760029e-07,1.9614116835153794e-06,2.1197324443278376e-05,0.0,00003_000938_07
learned_minus_zero,RELLIS-3D,2.620416508780643e-07,1.963870370880194e-06,4.1169618375747064e-05,0.0,00003_000958_01
learned_minus_fixed,RELLIS-3D,-2.830770842787711e-06,-2.2582505357915394e-05,-0.0004671319745845892,0.0,00003_000958_01
learned_minus_zero,RELLIS-3D,0.0,0.0,0.0,0.0,00003_000958_04
learned_minus_fixed,RELLIS-3D,0.0,0.0,0.0,0.0,00003_000958_04
learned_minus_zero,RELLIS-3D,3.903179479625152e-08,-3.1992493809696043e-07,-3.5472214054976803e-06,0.0,00003_000958_05
learned_minus_fixed,RELLIS-3D,-4.1456494043190517e-07,3.2204127272672523e-06,3.5060950207110864e-05,0.0,00003_000958_05
learned_minus_zero,RELLIS-3D,1.967840350114436e-07,1.2977286510951203e-06,2.6977619080881254e-05,0.0,00003_000958_06
learned_minus_fixed,RELLIS-3D,-2.0218040561181816e-06,-1.4440722877817613e-05,-0.00029455922963350645,0.0,00003_000958_06
learned_minus_zero,RELLIS-3D,-1.270172348966092e-06,-3.0261294547972994e-07,-4.397978182169027e-05,0.0,00003_000958_07
learned_minus_fixed,RELLIS-3D,1.4205023384561422e-05,3.741928395584182e-06,0.0004979056625540323,0.0,00003_000958_07
learned_minus_zero,RELLIS-3D,0.0,0.0,0.0,0.0,00003_001034_00
learned_minus_fixed,RELLIS-3D,0.0,0.0,0.0,0.0,00003_001034_00
learned_minus_zero,RELLIS-3D,-1.872385744228211e-07,1.5545684572959573e-06,2.257346795175863e-05,0.0,00003_001034_01
learned_minus_fixed,RELLIS-3D,1.984306771951605e-06,-1.6114078924100994e-05,-0.0002323868787712513,0.0,00003_001034_01
learned_minus_zero,RELLIS-3D,2.751399280076505e-07,3.504594925374249e-07,1.484241679783338e-05,0.0,00003_001034_02
learned_minus_fixed,RELLIS-3D,-2.9479406851162793e-06,-4.390049757052594e-06,-0.0001691917317678815,0.0,00003_001034_02
learned_minus_zero,RELLIS-3D,0.0,0.0,0.0,0.0,00003_001034_03
learned_minus_fixed,RELLIS-3D,0.0,0.0,0.0,0.0,00003_001034_03
learned_minus_zero,RELLIS-3D,4.234308932926645e-07,-1.9124483408017312e-07,1.1427713419109864e-05,0.0,00003_001034_06
learned_minus_fixed,RELLIS-3D,-4.764153672454086e-06,2.6891789911553943e-06,-0.00011963475582987826,0.0,00003_001034_06
learned_minus_zero,RELLIS-3D,-1.3870416487593573e-07,5.842982353509996e-07,7.468161513202176e-06,0.0,00003_001034_07
learned_minus_fixed,RELLIS-3D,1.4061852432467603e-06,-4.956581716841768e-06,-5.229157805430873e-05,0.0,00003_001034_07
learned_minus_zero,RELLIS-3D,1.1663507115677874e-07,1.842487906689172e-06,3.8453766190826855e-05,0.0,00003_001038_00
learned_minus_fixed,RELLIS-3D,-1.2493320189488344e-07,-1.8450866251407128e-05,-0.0003475388236573451,0.0,00003_001038_00
learned_minus_zero,RELLIS-3D,0.0,0.0,0.0,0.0,00003_001038_01
learned_minus_fixed,RELLIS-3D,0.0,0.0,0.0,0.0,00003_001038_01
learned_minus_zero,RELLIS-3D,0.0,0.0,0.0,0.0,00003_001038_02
learned_minus_fixed,RELLIS-3D,0.0,0.0,0.0,0.0,00003_001038_02
learned_minus_zero,RELLIS-3D,0.0,0.0,0.0,0.0,00003_001038_03
learned_minus_fixed,RELLIS-3D,0.0,0.0,0.0,0.0,00003_001038_03
learned_minus_zero,RELLIS-3D,-1.4426367174191768e-06,5.244641698709529e-08,-4.2971714893980106e-05,0.0,00003_001038_04
learned_minus_fixed,RELLIS-3D,1.5757210887756834e-05,-4.1964443286968134e-07,0.00047181111304794854,0.0,00003_001038_04
learned_minus_zero,RELLIS-3D,4.7686364301746664e-09,5.07562578855314e-07,8.281144129540507e-06,0.0,00003_001038_05
learned_minus_fixed,RELLIS-3D,-4.276433900884946e-07,-1.0798267471856526e-05,-0.00018807958360511634,0.0,00003_001038_05
learned_minus_zero,RELLIS-3D,0.0,0.0,0.0,0.0,00003_001038_06
learned_minus_fixed,RELLIS-3D,0.0,0.0,0.0,0.0,00003_001038_06
learned_minus_zero,RELLIS-3D,3.1915861731235395e-08,7.730800455352238e-08,3.0455227673087393e-06,0.0,00003_001038_07
learned_minus_fixed,RELLIS-3D,-3.26175040754606e-07,-9.5116954546004e-07,-3.4647098051010516e-05,0.0,00003_001038_07
learned_minus_zero,RELLIS-3D,0.0,0.0,0.0,0.0,00003_001102_01
learned_minus_fixed,RELLIS-3D,0.0,0.0,0.0,0.0,00003_001102_01
